Model,Silhouette,Davies,Calinski
KMeans,0.5445627330888874,0.5492831167491219,2627.4963283528596
Agglomerative,0.5388719437754776,0.6486224878073862,2599.686259572646
DBSCAN,0.8625554525249124,1.1297717570247445,1289.2670499233511
